Radius varies from 1 to 2400
X-coordinate,Y-cordinate
3000,3001
3000,3001
3000,3002
3000,3003
3000,3004
3000,3005
3000,3006
3000,3007
3001,3008
3001,3009
3001,3010
3002,3011
3002,3012
3003,3013
3003,3014
3004,3015
3004,3016
3005,3017
3005,3018
3006,3018
3007,3019
3007,3020
3008,3021
3009,3022
3010,3022
3010,3023
3011,3024
3012,3024
3013,3025
3014,3026
3015,3026
3016,3027
3017,3027
3018,3028
3019,3029
3020,3029
3021,3029
3022,3030
3024,3030
3025,3031
3026,3031
3027,3031
3028,3031
3030,3032
3031,3032
3032,3032
3033,3032
3035,3032
3036,3032
3037,3032
3039,3032
3040,3032
3041,3032
3043,3032
3044,3032
3045,3032
3047,3031
3048,3031
3050,3031
3051,3030
3052,3030
3054,3030
3055,3029
3057,3029
3058,3028
3059,3027
3061,3027
3062,3026
3063,3025
3065,3025
3066,3024
3068,3023
3069,3022
3070,3021
3072,3020
3073,3019
3074,3018
3076,3017
3077,3016
3078,3015
3079,3014
3080,3012
3082,3011
3083,3010
3084,3008
3085,3007
3086,3006
3087,3004
3088,3003
3089,3001
3091,3000
3091,2998
3092,2996
3093,2995
3094,2993
3095,2991
3096,2989
3097,2988
3098,2986
3098,2984
3099,2982
3100,2980
3100,2978
3101,2976
3101,2974
3102,2972
3102,2970
3103,2968
3103,2966
3104,2964
3104,2962
3104,2959
3104,2957
3104,2955
3105,2953
3105,2950
3105,2948
3105,2946
3105,2944
3104,2941
3104,2939
3104,2937
3104,2934
3103,2932
3103,2930
3103,2927
3102,2925
3102,2922
3101,2920
3101,2918
3100,2915
3099,2913
3098,2911
3098,2908
3097,2906
3096,2903
3095,2901
3094,2899
3093,2896
3091,2894
3090,2891
3089,2889
3088,2887
3086,2884
3085,2882
3083,2880
3082,2878
3080,2875
3078,2873
3077,2871
3075,2869
3073,2867
3071,2864
3069,2862
3067,2860
3065,2858
3063,2856
3061,2854
3059,2852
3057,2850
3055,2848
3052,2846
3050,2844
3047,2843
3045,2841
3042,2839
3040,2837
3037,2836
3035,2834
3032,2833
3029,2831
3026,2830
3024,2828
3021,2827
3018,2825
3015,2824
3012,2823
3009,2822
3006,2821
3003,2820
3000,2819
2996,2818
2993,2817
2990,2816
2987,2815
2983,2814
2980,2814
2977,2813
2973,2812
2970,2812
2966,2811
2963,2811
2959,2811
2956,2810
2952,2810
2949,2810
2945,2810
2942,2810
2938,2810
2934,2810
2931,2811
2927,2811
2923,2811
2920,2812
2916,2812
2912,2813
2909,2813
2905,2814
2901,2815
2898,2816
2894,2817
2890,2818
2887,2819
2883,2820
2879,2821
2876,2823
2872,2824
2868,2825
2865,2827
2861,2829
2857,2830
2854,2832
2850,2834
2847,2836
2843,2838
2840,2840
2836,2842
2833,2844
2829,2846
2826,2849
2823,2851
2819,2853
2816,2856
2813,2859
2809,2861
2806,2864
2803,2867
2800,2870
2797,2873
2794,2876
2791,2879
2788,2882
2785,2885
2782,2889
2779,2892
2777,2896
2774,2899
2771,2903
2769,2906
2766,2910
2764,2914
2761,2917
2759,2921
2757,2925
2754,2929
2752,2933
2750,2937
2748,2941
2746,2946
2744,2950
2742,2954
2741,2959
2739,2963
2737,2967
2736,2972
2735,2976
2733,2981
2732,2985
2731,2990
2730,2995
2729,3000
2728,3004
2727,3009
2726,3014
2725,3019
2725,3024
2724,3028
2724,3033
2723,3038
2723,3043
2723,3048
2723,3053
2723,3058
2723,3063
2723,3068
2723,3074
2724,3079
2724,3084
2725,3089
2725,3094
2726,3099
2727,3104
2728,3109
2729,3114
2730,3119
2731,3125
2733,3130
2734,3135
2735,3140
2737,3145
2739,3150
2741,3155
2743,3160
2745,3165
2747,3170
2749,3175
2751,3180
2754,3185
2756,3190
2759,3195
2761,3199
2764,3204
2767,3209
2770,3214
2773,3218
2776,3223
2779,3228
2783,3232
2786,3237
2790,3241
2793,3245
2797,3250
2801,3254
2805,3258
2808,3262
2813,3267
2817,3271
2821,3275
2825,3279
2830,3282
2834,3286
2839,3290
2843,3294
2848,3297
2853,3301
2858,3304
2862,3307
2867,3311
2873,3314
2878,3317
2883,3320
2888,3323
2894,3326
2899,3328
2904,3331
2910,3334
2916,3336
2921,3339
2927,3341
2933,3343
2939,3345
2944,3347
2950,3349
2956,3351
2962,3353
2968,3354
2975,3356
2981,3357
2987,3358
2993,3359
3006,3360
3012,3361
3018,3362
3025,3363
3031,3363
3038,3363
3044,3364
3051,3364
3057,3364
3064,3364
3070,3364
3077,3363
3083,3363
3090,3362
3097,3362
3103,3361
3110,3360
3116,3359
3123,3358
3129,3357
3136,3355
3143,3354
3149,3352
3156,3350
3162,3348
3169,3346
3175,3344
3182,3342
3188,3340
3195,3337
3201,3335
3207,3332
3214,3329
3220,3326
3226,3323
3232,3320
3238,3317
3245,3313
3251,3310
3257,3306
3263,3302
3268,3298
3274,3294
3280,3290
3286,3286
3292,3282
3297,3277
3303,3273
3308,3268
3314,3263
3319,3258
3324,3253
3329,3248
3334,3243
3339,3238
3344,3232
3349,3227
3354,3221
3359,3215
3363,3210
3368,3204
3372,3198
3376,3192
3381,3185
3385,3179
3389,3173
3393,3166
3396,3160
3400,3153
3404,3147
3407,3140
3410,3133
3414,3126
3417,3119
3420,3112
3423,3105
3425,3098
3428,3091
3430,3083
3433,3076
3435,3068
3437,3061
3439,3053
3441,3046
3443,3038
3444,3031
3446,3023
3447,3015
3448,3007
3450,3000
3450,2992
3451,2984
3452,2976
3452,2968
3453,2960
3453,2952
3453,2944
3453,2936
3453,2928
3453,2920
3452,2912
3451,2903
3451,2895
3450,2887
3449,2879
3447,2871
3446,2863
3445,2855
3443,2847
3441,2839
3439,2831
3437,2823
3435,2815
3433,2807
3430,2799
3427,2791
3425,2783
3422,2775
3418,2767
3415,2760
3412,2752
3408,2744
3405,2736
3401,2729
3397,2721
3393,2714
3388,2706
3384,2699
3380,2692
3375,2685
3370,2677
